"Data";"Ultimo";"Abertura";"Maxima";"Minima";"Vol.";"Var%"
"02.01.2012";"18,40";"18,22";"18,73";"18,01";"20,39M";"1,10%"
"03.01.2012";"19,16";"18,66";"19,16";"18,64";"22,94M";"4,13%"
"04.01.2012";"19,29";"18,96";"19,30";"18,79";"18,74M";"0,68%"
"05.01.2012";"19,07";"19,14";"19,33";"18,93";"19,49M";"-1,14%"
"06.01.2012";"19,09";"19,21";"19,30";"19,02";"13,94M";"0,10%"
"09.01.2012";"19,34";"19,18";"19,34";"19,05";"14,67M";"1,31%"
"10.01.2012";"19,58";"19,61";"19,68";"19,48";"21,08M";"1,24%"
"11.01.2012";"19,58";"19,57";"19,66";"19,36";"19,84M";"0,00%"
"12.01.2012";"19,73";"19,65";"19,89";"19,47";"28,33M";"0,77%"
"13.01.2012";"19,70";"19,62";"19,75";"19,53";"27,09M";"-0,15%"
"16.01.2012";"20,22";"19,70";"20,26";"19,68";"29,98M";"2,64%"
"17.01.2012";"20,35";"20,49";"20,63";"20,26";"26,90M";"0,64%"
"18.01.2012";"20,83";"20,36";"20,91";"20,36";"25,73M";"2,36%"
"19.01.2012";"20,70";"20,86";"20,98";"20,70";"22,84M";"-0,62%"
"20.01.2012";"20,70";"20,60";"20,70";"20,41";"16,64M";"0,00%"
"23.01.2012";"21,48";"20,59";"21,79";"20,55";"36,56M";"3,77%"
"24.01.2012";"21,71";"21,41";"22,04";"21,33";"37,25M";"1,07%"
"26.01.2012";"21,30";"21,99";"22,13";"21,30";"30,57M";"-1,89%"
"27.01.2012";"21,09";"21,44";"21,50";"21,05";"17,64M";"-0,99%"
"30.01.2012";"21,00";"20,88";"21,05";"20,82";"16,81M";"-0,43%"
"31.01.2012";"21,00";"21,16";"21,32";"20,80";"28,15M";"0,00%"
"01.02.2012";"21,33";"21,11";"21,52";"21,05";"24,36M";"1,57%"
"02.02.2012";"20,97";"21,27";"21,56";"20,90";"26,64M";"-1,69%"
"03.02.2012";"21,04";"20,92";"21,31";"20,83";"20,31M";"0,33%"
"06.02.2012";"21,25";"20,93";"21,25";"20,86";"14,43M";"1,00%"
"07.02.2012";"21,88";"21,13";"21,92";"21,13";"29,50M";"2,96%"
"08.02.2012";"21,74";"21,93";"22,12";"21,63";"24,82M";"-0,64%"
"09.02.2012";"21,80";"21,78";"22,00";"21,52";"23,66M";"0,28%"
